mes,pais_orig_cod,pais_orig,mun_dest_cod,mun_dest,turistas,CMUN,gasto
2019-07,126,Alemania,28006,Alcobendas,458,006,102.04
2019-07,128,Rumania,28006,Alcobendas,47,006,109.21
2019-07,131,Suecia,28006,Alcobendas,151,006,72.9
2019-07,132,Suiza,28006,Alcobendas,115,006,183.3
2019-07,135,Ucrania,28006,Alcobendas,35,006,86.78
2019-07,228,Marruecos,28006,Alcobendas,109,006,86.78
2019-07,301,Canada,28006,Alcobendas,54,006,99.5
2019-07,302,EE.UU.,28006,Alcobendas,503,006,119.05
2019-07,303,Mexico,28006,Alcobendas,166,006,133.35
2019-07,340,Argentina,28006,Alcobendas,74,006,86.91
2019-07,342,Brasil,28006,Alcobendas,80,006,117.09
2019-07,343,Colombia,28006,Alcobendas,143,006,162.67
2019-07,348,Peru,28006,Alcobendas,41,006,86.78
2019-07,351,Venezuela,28006,Alcobendas,47,006,86.78
2019-07,402,Arabia saudita,28006,Alcobendas,31,006,86.78
2019-07,407,China,28006,Alcobendas,161,006,359.08
2019-07,408,Emiratos arabes unidos,28006,Alcobendas,42,006,177.95
2019-07,414,Israel,28006,Alcobendas,65,006,86.78
2019-07,415,Japón,28006,Alcobendas,45,006,116.41
2019-07,430,Republica de corea - corea del sur,28006,Alcobendas,52,006,116.04
2019-07,436,Turquia,28006,Alcobendas,42,006,91.33
2019-07,000,Total,28007,Alcorcón,3481,007,86.78
2019-07,010,Total Europa,28007,Alcorcón,2698,007,86.78
2019-07,011,Total Unión Europea,28007,Alcorcón,2281,007,86.78
2019-07,020,Total África,28007,Alcorcón,164,007,86.78
2019-07,030,Total América,28007,Alcorcón,410,007,86.78
2019-07,031,Total América del Norte,28007,Alcorcón,228,007,86.78
2019-07,033,Total Sudamérica,28007,Alcorcón,176,007,86.78
2019-07,040,Total Asia,28007,Alcorcón,205,007,86.78
2019-07,102,Austria,28007,Alcorcón,226,007,92.57
2019-07,103,Bélgica,28007,Alcorcón,81,007,85.46
2019-07,107,Dinamarca,28007,Alcorcón,38,007,78.39
2019-07,110,Francia,28007,Alcorcón,597,007,76.36
2019-07,113,Irlanda,28007,Alcorcón,43,007,88.95
2019-07,115,Italia,28007,Alcorcón,117,007,88.99
2019-07,117,Luxemburgo,28007,Alcorcón,89,007,86.78
2019-07,121,Países Bajos,28007,Alcorcón,448,007,78.92
2019-07,122,Polonia,28007,Alcorcón,65,007,60.79
2019-07,123,Portugal,28007,Alcorcón,166,007,93.65
2019-07,125,Reino Unido,28007,Alcorcón,236,007,123.22
2019-07,126,Alemania,28007,Alcorcón,208,007,102.04
2019-07,128,Rumania,28007,Alcorcón,57,007,109.21
2019-07,131,Suecia,28007,Alcorcón,116,007,72.9
2019-07,132,Suiza,28007,Alcorcón,34,007,183.3
2019-07,135,Ucrania,28007,Alcorcón,122,007,86.78
2019-07,220,Guinea ecuatorial,28007,Alcorcón,43,007,86.78
2019-07,228,Marruecos,28007,Alcorcón,99,007,86.78
2019-07,302,EE.UU.,28007,Alcorcón,164,007,119.05
2019-07,342,Brasil,28007,Alcorcón,30,007,117.09
2019-07,343,Colombia,28007,Alcorcón,52,007,162.67
2019-07,407,China,28007,Alcorcón,94,007,359.08
2019-07,430,Republica de corea - corea del sur,28007,Alcorcón,35,007,116.04
2019-07,436,Turquia,28007,Alcorcón,47,007,91.33
2019-07,000,Total,28008,Aldea del Fresno,143,008,86.78
2019-07,010,Total Europa,28008,Aldea del Fresno,117,008,86.78
2019-07,011,Total Unión Europea,28008,Aldea del Fresno,109,008,86.78
2019-07,000,Total,28009,Algete,1275,009,86.78
2019-07,010,Total Europa,28009,Algete,1067,009,86.78
2019-07,011,Total Unión Europea,28009,Algete,968,009,86.78
2019-07,020,Total África,28009,Algete,47,009,86.78
2019-07,030,Total América,28009,Algete,118,009,86.78
2019-07,031,Total América del Norte,28009,Algete,93,009,86.78
2019-07,040,Total Asia,28009,Algete,42,009,86.78
2019-07,102,Austria,28009,Algete,51,009,92.57
2019-07,103,Bélgica,28009,Algete,104,009,85.46
2019-07,110,Francia,28009,Algete,238,009,76.36
2019-07,115,Italia,28009,Algete,36,009,88.99
2019-07,121,Países Bajos,28009,Algete,158,009,78.92
2019-07,122,Polonia,28009,Algete,64,009,60.79
2019-07,123,Portugal,28009,Algete,30,009,93.65
2019-07,125,Reino Unido,28009,Algete,76,009,123.22
2019-07,126,Alemania,28009,Algete,151,009,102.04
2019-07,131,Suecia,28009,Algete,48,009,72.9
2019-07,228,Marruecos,28009,Algete,38,009,86.78
2019-07,302,EE.UU.,28009,Algete,69,009,119.05
2019-07,407,China,28009,Algete,30,009,359.08
2019-07,000,Total,28010,Alpedrete,410,010,86.78
2019-07,010,Total Europa,28010,Alpedrete,356,010,86.78
2019-07,011,Total Unión Europea,28010,Alpedrete,293,010,86.78
2019-07,030,Total América,28010,Alpedrete,40,010,86.78
2019-07,110,Francia,28010,Alpedrete,99,010,76.36
2019-07,121,Países Bajos,28010,Alpedrete,51,010,78.92
2019-07,125,Reino Unido,28010,Alpedrete,55,010,123.22
2019-07,126,Alemania,28010,Alpedrete,45,010,102.04
2019-07,000,Total,28011,Ambite,59,011,86.78
2019-07,010,Total Europa,28011,Ambite,46,011,86.78
2019-07,011,Total Unión Europea,28011,Ambite,40,011,86.78
2019-07,000,Total,28012,Anchuelo,62,012,86.78
2019-07,010,Total Europa,28012,Anchuelo,54,012,86.78
2019-07,011,Total Unión Europea,28012,Anchuelo,50,012,86.78
2019-07,000,Total,28013,Aranjuez,1734,013,86.78
2019-07,010,Total Europa,28013,Aranjuez,1462,013,86.78
2019-07,011,Total Unión Europea,28013,Aranjuez,1264,013,86.78
2019-07,020,Total África,28013,Aranjuez,116,013,86.78
2019-07,030,Total América,28013,Aranjuez,138,013,86.78
2019-07,031,Total América del Norte,28013,Aranjuez,83,013,86.78
2019-07,033,Total Sudamérica,28013,Aranjuez,54,013,86.78
2019-07,102,Austria,28013,Aranjuez,50,013,92.57
2019-07,103,Bélgica,28013,Aranjuez,67,013,85.46
2019-07,110,Francia,28013,Aranjuez,374,013,76.36
2019-07,115,Italia,28013,Aranjuez,66,013,88.99
2019-07,117,Luxemburgo,28013,Aranjuez,56,013,86.78
2019-07,121,Países Bajos,28013,Aranjuez,217,013,78.92
2019-07,123,Portugal,28013,Aranjuez,66,013,93.65
2019-07,125,Reino Unido,28013,Aranjuez,156,013,123.22
2019-07,126,Alemania,28013,Aranjuez,136,013,102.04
2019-07,128,Rumania,28013,Aranjuez,52,013,109.21
2019-07,131,Suecia,28013,Aranjuez,95,013,72.9
2019-07,228,Marruecos,28013,Aranjuez,106,013,86.78
2019-07,302,EE.UU.,28013,Aranjuez,65,013,119.05
2019-07,000,Total,28014,Arganda del Rey,1878,014,86.78
2019-07,010,Total Europa,28014,Arganda del Rey,1531,014,86.78
2019-07,011,Total Unión Europea,28014,Arganda del Rey,1378,014,86.78
2019-07,020,Total África,28014,Arganda del Rey,44,014,86.78
2019-07,030,Total América,28014,Arganda del Rey,248,014,86.78
2019-07,031,Total América del Norte,28014,Arganda del Rey,138,014,86.78
2019-07,033,Total Sudamérica,28014,Arganda del Rey,108,014,86.78
2019-07,040,Total Asia,28014,Arganda del Rey,52,014,86.78
2019-07,102,Austria,28014,Arganda del Rey,87,014,92.57
2019-07,103,Bélgica,28014,Arganda del Rey,40,014,85.46
2019-07,110,Francia,28014,Arganda del Rey,329,014,76.36
2019-07,115,Italia,28014,Arganda del Rey,106,014,88.99
2019-07,117,Luxemburgo,28014,Arganda del Rey,55,014,86.78
2019-07,121,Países Bajos,28014,Arganda del Rey,289,014,78.92
2019-07,123,Portugal,28014,Arganda del Rey,70,014,93.65
2019-07,125,Reino Unido,28014,Arganda del Rey,101,014,123.22
2019-07,126,Alemania,28014,Arganda del Rey,129,014,102.04
2019-07,128,Rumania,28014,Arganda del Rey,158,014,109.21
2019-07,131,Suecia,28014,Arganda del Rey,54,014,72.9
2019-07,302,EE.UU.,28014,Arganda del Rey,120,014,119.05
2019-07,340,Argentina,28014,Arganda del Rey,30,014,86.91
2019-07,000,Total,28015,Arroyomolinos,891,015,86.78
2019-07,010,Total Europa,28015,Arroyomolinos,562,015,86.78
2019-07,011,Total Unión Europea,28015,Arroyomolinos,507,015,86.78
2019-07,030,Total América,28015,Arroyomolinos,47,015,86.78
2019-07,040,Total Asia,28015,Arroyomolinos,270,015,86.78
2019-07,102,Austria,28015,Arroyomolinos,66,015,92.57
2019-07,110,Francia,28015,Arroyomolinos,155,015,76.36
2019-07,121,Países Bajos,28015,Arroyomolinos,91,015,78.92
2019-07,123,Portugal,28015,Arroyomolinos,33,015,93.65
2019-07,125,Reino Unido,28015,Arroyomolinos,40,015,123.22
2019-07,126,Alemania,28015,Arroyomolinos,73,015,102.04
2019-07,407,China,28015,Arroyomolinos,263,015,359.08
2019-07,000,Total,28016,"Atazar, El",67,016,86.78
2019-07,010,Total Europa,28016,"Atazar, El",57,016,86.78
2019-07,011,Total Unión Europea,28016,"Atazar, El",54,016,86.78
2019-07,000,Total,28017,Batres,47,017,86.78
2019-07,010,Total Europa,28017,Batres,40,017,86.78
2019-07,011,Total Unión Europea,28017,Batres,37,017,86.78
2019-07,000,Total,28018,Becerril de la Sierra,92,018,86.78
2019-07,010,Total Europa,28018,Becerril de la Sierra,71,018,86.78
2019-07,011,Total Unión Europea,28018,Becerril de la Sierra,62,018,86.78
2019-07,000,Total,28019,Belmonte de Tajo,75,019,86.78
2019-07,010,Total Europa,28019,Belmonte de Tajo,68,019,86.78
2019-07,011,Total Unión Europea,28019,Belmonte de Tajo,56,019,86.78
2019-07,000,Total,28021,"Berrueco, El",198,021,86.78
2019-07,010,Total Europa,28021,"Berrueco, El",177,021,86.78
2019-07,011,Total Unión Europea,28021,"Berrueco, El",165,021,86.78
2019-07,110,Francia,28021,"Berrueco, El",39,021,76.36
2019-07,126,Alemania,28021,"Berrueco, El",50,021,102.04
2019-07,000,Total,28022,Boadilla del Monte,2545,022,86.78
2019-07,010,Total Europa,28022,Boadilla del Monte,2041,022,86.78
2019-07,011,Total Unión Europea,28022,Boadilla del Monte,1722,022,86.78
2019-07,030,Total América,28022,Boadilla del Monte,370,022,86.78
2019-07,031,Total América del Norte,28022,Boadilla del Monte,233,022,86.78
2019-07,033,Total Sudamérica,28022,Boadilla del Monte,133,022,86.78
2019-07,040,Total Asia,28022,Boadilla del Monte,115,022,86.78
2019-07,102,Austria,28022,Boadilla del Monte,341,022,92.57
2019-07,103,Bélgica,28022,Boadilla del Monte,34,022,85.46
2019-07,107,Dinamarca,28022,Boadilla del Monte,56,022,78.39
2019-07,110,Francia,28022,Boadilla del Monte,356,022,76.36
2019-07,115,Italia,28022,Boadilla del Monte,64,022,88.99
2019-07,117,Luxemburgo,28022,Boadilla del Monte,38,022,86.78
2019-07,121,Países Bajos,28022,Boadilla del Monte,391,022,78.92
2019-07,122,Polonia,28022,Boadilla del Monte,37,022,60.79
2019-07,123,Portugal,28022,Boadilla del Monte,96,022,93.65
2019-07,125,Reino Unido,28022,Boadilla del Monte,279,022,123.22
2019-07,126,Alemania,28022,Boadilla del Monte,188,022,102.04
2019-07,131,Suecia,28022,Boadilla del Monte,64,022,72.9
2019-07,132,Suiza,28022,Boadilla del Monte,30,022,183.3
2019-07,302,EE.UU.,28022,Boadilla del Monte,155,022,119.05
2019-07,340,Argentina,28022,Boadilla del Monte,58,022,86.91
2019-07,343,Colombia,28022,Boadilla del Monte,30,022,162.67
2019-07,407,China,28022,Boadilla del Monte,78,022,359.08
2019-07,000,Total,28023,"Boalo, El",258,023,86.78
2019-07,010,Total Europa,28023,"Boalo, El",203,023,86.78
2019-07,011,Total Unión Europea,28023,"Boalo, El",173,023,86.78
2019-07,030,Total América,28023,"Boalo, El",46,023,86.78
2019-07,110,Francia,28023,"Boalo, El",57,023,76.36
2019-07,126,Alemania,28023,"Boalo, El",35,023,102.04
2019-07,000,Total,28025,Brea de Tajo,88,025,86.78
2019-07,010,Total Europa,28025,Brea de Tajo,71,025,86.78
2019-07,011,Total Unión Europea,28025,Brea de Tajo,57,025,86.78
2019-07,000,Total,28026,Brunete,326,026,86.78
2019-07,010,Total Europa,28026,Brunete,270,026,86.78
2019-07,011,Total Unión Europea,28026,Brunete,238,026,86.78
2019-07,030,Total América,28026,Brunete,40,026,86.78
2019-07,110,Francia,28026,Brunete,73,026,76.36
2019-07,121,Países Bajos,28026,Brunete,57,026,78.92
2019-07,000,Total,28027,Buitrago del Lozoya,466,027,86.78
2019-07,010,Total Europa,28027,Buitrago del Lozoya,436,027,86.78
2019-07,011,Total Unión Europea,28027,Buitrago del Lozoya,406,027,86.78
2019-07,103,Bélgica,28027,Buitrago del Lozoya,31,027,85.46
2019-07,110,Francia,28027,Buitrago del Lozoya,274,027,76.36
2019-07,121,Países Bajos,28027,Buitrago del Lozoya,58,027,78.92
2019-07,000,Total,28028,Bustarviejo,143,028,86.78
2019-07,010,Total Europa,28028,Bustarviejo,96,028,86.78
2019-07,011,Total Unión Europea,28028,Bustarviejo,91,028,86.78
2019-07,110,Francia,28028,Bustarviejo,33,028,76.36
2019-07,000,Total,28029,Cabanillas de la Sierra,55,029,86.78
2019-07,010,Total Europa,28029,Cabanillas de la Sierra,50,029,86.78
2019-07,011,Total Unión Europea,28029,Cabanillas de la Sierra,42,029,86.78
2019-07,000,Total,28030,"Cabrera, La",455,030,86.78
2019-07,010,Total Europa,28030,"Cabrera, La",410,030,86.78
2019-07,011,Total Unión Europea,28030,"Cabrera, La",340,030,86.78
2019-07,030,Total América,28030,"Cabrera, La",35,030,86.78
2019-07,103,Bélgica,28030,"Cabrera, La",36,030,85.46
2019-07,110,Francia,28030,"Cabrera, La",114,030,76.36
2019-07,121,Países Bajos,28030,"Cabrera, La",49,030,78.92
2019-07,125,Reino Unido,28030,"Cabrera, La",58,030,123.22
2019-07,000,Total,28031,Cadalso de los Vidrios,77,031,86.78
2019-07,010,Total Europa,28031,Cadalso de los Vidrios,70,031,86.78
2019-07,011,Total Unión Europea,28031,Cadalso de los Vidrios,62,031,86.78
2019-07,000,Total,28032,Camarma de Esteruelas,172,032,86.78
2019-07,010,Total Europa,28032,Camarma de Esteruelas,138,032,86.78
2019-07,011,Total Unión Europea,28032,Camarma de Esteruelas,110,032,86.78
2019-07,000,Total,28033,Campo Real,139,033,86.78
2019-07,010,Total Europa,28033,Campo Real,109,033,86.78
2019-07,011,Total Unión Europea,28033,Campo Real,104,033,86.78
2019-07,000,Total,28034,Canencia,72,034,86.78
2019-07,010,Total Europa,28034,Canencia,68,034,86.78
2019-07,011,Total Unión Europea,28034,Canencia,62,034,86.78
2019-07,121,Países Bajos,28034,Canencia,31,034,78.92
2019-07,000,Total,28035,Carabaña,66,035,86.78
2019-07,010,Total Europa,28035,Carabaña,51,035,86.78
2019-07,011,Total Unión Europea,28035,Carabaña,38,035,86.78
2019-07,000,Total,28036,Casarrubuelos,129,036,86.78
2019-07,010,Total Europa,28036,Casarrubuelos,105,036,86.78
2019-07,011,Total Unión Europea,28036,Casarrubuelos,105,036,86.78
2019-07,110,Francia,28036,Casarrubuelos,36,036,76.36
2019-07,000,Total,28037,Cenicientos,36,037,86.78
2019-07,000,Total,28038,Cercedilla,281,038,86.78
2019-07,010,Total Europa,28038,Cercedilla,223,038,86.78
2019-07,011,Total Unión Europea,28038,Cercedilla,176,038,86.78
2019-07,030,Total América,28038,Cercedilla,47,038,86.78
2019-07,031,Total América del Norte,28038,Cercedilla,31,038,86.78
2019-07,102,Austria,28038,Cercedilla,42,038,92.57
2019-07,110,Francia,28038,Cercedilla,32,038,76.36
2019-07,125,Reino Unido,28038,Cercedilla,34,038,123.22
2019-07,000,Total,28040,Ciempozuelos,1274,040,86.78
2019-07,010,Total Europa,28040,Ciempozuelos,1143,040,86.78
2019-07,011,Total Unión Europea,28040,Ciempozuelos,1081,040,86.78
2019-07,020,Total África,28040,Ciempozuelos,32,040,86.78
2019-07,030,Total América,28040,Ciempozuelos,83,040,86.78
2019-07,031,Total América del Norte,28040,Ciempozuelos,41,040,86.78
2019-07,033,Total Sudamérica,28040,Ciempozuelos,36,040,86.78
2019-07,103,Bélgica,28040,Ciempozuelos,74,040,85.46
2019-07,107,Dinamarca,28040,Ciempozuelos,224,040,78.39
2019-07,110,Francia,28040,Ciempozuelos,222,040,76.36
2019-07,115,Italia,28040,Ciempozuelos,61,040,88.99
2019-07,121,Países Bajos,28040,Ciempozuelos,106,040,78.92
2019-07,122,Polonia,28040,Ciempozuelos,38,040,60.79
2019-07,123,Portugal,28040,Ciempozuelos,53,040,93.65
2019-07,125,Reino Unido,28040,Ciempozuelos,49,040,123.22
2019-07,126,Alemania,28040,Ciempozuelos,121,040,102.04
2019-07,131,Suecia,28040,Ciempozuelos,80,040,72.9
2019-07,302,EE.UU.,28040,Ciempozuelos,39,040,119.05
2019-07,000,Total,28041,Cobeña,202,041,86.78
2019-07,010,Total Europa,28041,Cobeña,164,041,86.78
2019-07,011,Total Unión Europea,28041,Cobeña,127,041,86.78
2019-07,030,Total América,28041,Cobeña,33,041,86.78
2019-07,102,Austria,28041,Cobeña,45,041,92.57
2019-07,110,Francia,28041,Cobeña,35,041,76.36
2019-07,125,Reino Unido,28041,Cobeña,31,041,123.22
2019-07,000,Total,28043,Colmenar de Oreja,132,043,86.78
2019-07,010,Total Europa,28043,Colmenar de Oreja,124,043,86.78
2019-07,011,Total Unión Europea,28043,Colmenar de Oreja,112,043,86.78
2019-07,110,Francia,28043,Colmenar de Oreja,53,043,76.36
2019-07,000,Total,28044,Colmenarejo,344,044,86.78
2019-07,010,Total Europa,28044,Colmenarejo,276,044,86.78
2019-07,011,Total Unión Europea,28044,Colmenarejo,224,044,86.78
2019-07,030,Total América,28044,Colmenarejo,51,044,86.78
2019-07,031,Total América del Norte,28044,Colmenarejo,30,044,86.78
2019-07,110,Francia,28044,Colmenarejo,62,044,76.36
2019-07,121,Países Bajos,28044,Colmenarejo,43,044,78.92
2019-07,125,Reino Unido,28044,Colmenarejo,40,044,123.22
2019-07,126,Alemania,28044,Colmenarejo,30,044,102.04
2019-07,302,EE.UU.,28044,Colmenarejo,30,044,119.05
2019-07,000,Total,28045,Colmenar Viejo,1434,045,86.78
2019-07,010,Total Europa,28045,Colmenar Viejo,1218,045,86.78
2019-07,011,Total Unión Europea,28045,Colmenar Viejo,1076,045,86.78
2019-07,020,Total África,28045,Colmenar Viejo,48,045,86.78
2019-07,030,Total América,28045,Colmenar Viejo,146,045,86.78
2019-07,031,Total América del Norte,28045,Colmenar Viejo,102,045,86.78
2019-07,033,Total Sudamérica,28045,Colmenar Viejo,37,045,86.78
2019-07,102,Austria,28045,Colmenar Viejo,60,045,92.57
2019-07,103,Bélgica,28045,Colmenar Viejo,50,045,85.46
2019-07,110,Francia,28045,Colmenar Viejo,363,045,76.36
2019-07,115,Italia,28045,Colmenar Viejo,37,045,88.99
2019-07,117,Luxemburgo,28045,Colmenar Viejo,34,045,86.78
2019-07,121,Países Bajos,28045,Colmenar Viejo,194,045,78.92
2019-07,122,Polonia,28045,Colmenar Viejo,35,045,60.79
2019-07,123,Portugal,28045,Colmenar Viejo,62,045,93.65
2019-07,125,Reino Unido,28045,Colmenar Viejo,131,045,123.22
2019-07,126,Alemania,28045,Colmenar Viejo,107,045,102.04
2019-07,131,Suecia,28045,Colmenar Viejo,37,045,72.9
2019-07,228,Marruecos,28045,Colmenar Viejo,42,045,86.78
2019-07,302,EE.UU.,28045,Colmenar Viejo,70,045,119.05
2019-07,000,Total,28046,Collado Mediano,241,046,86.78
2019-07,010,Total Europa,28046,Collado Mediano,205,046,86.78
2019-07,011,Total Unión Europea,28046,Collado Mediano,159,046,86.78
2019-07,110,Francia,28046,Collado Mediano,52,046,76.36
2019-07,121,Países Bajos,28046,Collado Mediano,33,046,78.92
2019-07,125,Reino Unido,28046,Collado Mediano,43,046,123.22
2019-07,000,Total,28047,Collado Villalba,1703,047,86.78
2019-07,010,Total Europa,28047,Collado Villalba,1312,047,86.78
2019-07,011,Total Unión Europea,28047,Collado Villalba,1124,047,86.78
2019-07,020,Total África,28047,Collado Villalba,78,047,86.78
2019-07,030,Total América,28047,Collado Villalba,197,047,86.78
2019-07,031,Total América del Norte,28047,Collado Villalba,111,047,86.78
2019-07,033,Total Sudamérica,28047,Collado Villalba,81,047,86.78
2019-07,040,Total Asia,28047,Collado Villalba,113,047,86.78
2019-07,102,Austria,28047,Collado Villalba,69,047,92.57
2019-07,103,Bélgica,28047,Collado Villalba,38,047,85.46
2019-07,104,Bulgaria,28047,Collado Villalba,45,047,86.78
2019-07,110,Francia,28047,Collado Villalba,349,047,76.36
2019-07,115,Italia,28047,Collado Villalba,43,047,88.99
2019-07,117,Luxemburgo,28047,Collado Villalba,47,047,86.78
2019-07,121,Países Bajos,28047,Collado Villalba,251,047,78.92
2019-07,123,Portugal,28047,Collado Villalba,50,047,93.65
2019-07,125,Reino Unido,28047,Collado Villalba,156,047,123.22
2019-07,126,Alemania,28047,Collado Villalba,88,047,102.04
2019-07,128,Rumania,28047,Collado Villalba,30,047,109.21
2019-07,131,Suecia,28047,Collado Villalba,64,047,72.9
2019-07,228,Marruecos,28047,Collado Villalba,64,047,86.78
2019-07,302,EE.UU.,28047,Collado Villalba,74,047,119.05
2019-07,343,Colombia,28047,Collado Villalba,38,047,162.67
2019-07,407,China,28047,Collado Villalba,37,047,359.08
2019-07,430,Republica de corea - corea del sur,28047,Collado Villalba,59,047,116.04
2019-07,000,Total,28048,Corpa,46,048,86.78
2019-07,010,Total Europa,28048,Corpa,42,048,86.78
2019-07,011,Total Unión Europea,28048,Corpa,37,048,86.78
2019-07,000,Total,28049,Coslada,2725,049,86.78
2019-07,010,Total Europa,28049,Coslada,2095,049,86.78
2019-07,011,Total Unión Europea,28049,Coslada,1611,049,86.78
2019-07,030,Total América,28049,Coslada,459,049,86.78
2019-07,031,Total América del Norte,28049,Coslada,311,049,86.78
2019-07,033,Total Sudamérica,28049,Coslada,143,049,86.78
2019-07,040,Total Asia,28049,Coslada,143,049,86.78
2019-07,102,Austria,28049,Coslada,79,049,92.57
2019-07,103,Bélgica,28049,Coslada,80,049,85.46
2019-07,110,Francia,28049,Coslada,247,049,76.36
2019-07,115,Italia,28049,Coslada,107,049,88.99
2019-07,116,Liechtenstein,28049,Coslada,227,049,86.78
2019-07,117,Luxemburgo,28049,Coslada,33,049,86.78
2019-07,121,Países Bajos,28049,Coslada,219,049,78.92
2019-07,122,Polonia,28049,Coslada,57,049,60.79
2019-07,123,Portugal,28049,Coslada,120,049,93.65
2019-07,125,Reino Unido,28049,Coslada,200,049,123.22
2019-07,126,Alemania,28049,Coslada,264,049,102.04
2019-07,128,Rumania,28049,Coslada,203,049,109.21
2019-07,131,Suecia,28049,Coslada,134,049,72.9
2019-07,302,EE.UU.,28049,Coslada,259,049,119.05
2019-07,340,Argentina,28049,Coslada,41,049,86.91
2019-07,407,China,28049,Coslada,70,049,359.08
2019-07,000,Total,28050,Cubas de la Sagra,134,050,86.78
2019-07,010,Total Europa,28050,Cubas de la Sagra,123,050,86.78
2019-07,011,Total Unión Europea,28050,Cubas de la Sagra,116,050,86.78
2019-07,110,Francia,28050,Cubas de la Sagra,33,050,76.36
