id_var,name_var,role,Dimension,Component,Unit of measurement,Definition,Source
nbmc_matmort,Maternal mortality rate,Indicator,Basic Human Needs,Nutrition and Basic Medical Care,"(deaths/100,000 live births)","Maternal deaths per 100,000 livebirths in women aged 10-54 years.",Institute for Health Metrics and Evaluation
nbmc_childmort,Child mortality rate,Indicator,Basic Human Needs,Nutrition and Basic Medical Care,"(deaths/1,000 live births)","Probability of dying between birth and exactly 5 years of age, expressed per 1,000 live births.",UN Inter-agency Group for Child Mortality Estimation
nbmc_undernourish,Undernourishment,Indicator,Basic Human Needs,Nutrition and Basic Medical Care,(% of pop.),The prevalence of undernourishment expresses the probability that a randomly selected individual from the population consumes an amount of calories that is insufficient to cover her/his energy requirement for an active and healthy life. The indicator is computed by comparing a probability distribution of habitual daily dietary energy consumption with a threshold level called the minimum dietary energy requirement. Both are based on the notion of an average individual in the reference population.,Food and Agriculture Organization of the United Nations
nbmc_dietlowfruitveg,Diet low in fruits and vegetables,Indicator,Basic Human Needs,Nutrition and Basic Medical Care,(0=low risk; 100=high risk),"Risk-weighted, age-standardized prevalence of nutrition low in fruits and vegetables as measured by the summary exposure value (SEV).",Institute for Health Metrics and Evaluation
ws_washmortdalys,"Unsafe water, sanitation and hygiene",Indicator,Basic Human Needs,Water and Sanitation,"(DALYs/100,000)","Age-standardized Disability-Adjusted Life Years (DALYs) rate attributable to unsafe water, sanitation and hygiene per 100,000 people.",Institute for Health Metrics and Evaluation
ws_sanitation,Access to improved sanitation,Indicator,Basic Human Needs,Water and Sanitation,(proportion of pop.),Proportion of population with access to improved toilet types as defined by the Joint Monitoring Program (JMP).,Institute for Health Metrics and Evaluation
ws_water,Access to improved water source,Indicator,Basic Human Needs,Water and Sanitation,(proportion of pop.),Proportion of population with access to improved water sources as defined by the Joint Monitoring Program (JMP).,Institute for Health Metrics and Evaluation
ws_watersat,Satisfaction with water quality,Indicator,Basic Human Needs,Water and Sanitation,(proportion of pop.),"The proportion of respondents answering 'satisfied' to the question, ""In the city or area where you live, are you satisfied or dissatisfied with the quality of water?""",Gallup World Poll
sh_hhairpolldalys,Household air pollution,Indicator,Basic Human Needs,Shelter,"(DALYs/100,000)","Age-standardized Disability-Adjusted Life Years (DALYs) rate caused by household air pollution from solid fuels per 100,000 people. Household air pollution includes exposure to particulate matter less than 2.5 microns in diameter (PM2.5) due to the use of solid fuels for cooking, including coal, charcoal, wood, agricultural residue, and animal dung.",Institute for Health Metrics and Evaluation
sh_affhousingdissat,Dissatisfaction with housing affordability,Indicator,Basic Human Needs,Shelter,(proportion of pop.),"The proportion of respondents answering 'dissatisfied' to the question, “In the city or area where you live, are you satisfied or dissatisfied with the availability of good, affordable housing?”",Gallup World Poll
sh_electricity,Access to electricity,Indicator,Basic Human Needs,Shelter,(% of pop.),The percentage of the population with access to electricity.,"SE4ALL Global Tracking Framework (World Bank, International Energy Agency, and the Energy Sector Management Assistance Program)"
sh_cleanfuels,Usage of clean fuels and technology for cooking,Indicator,Basic Human Needs,Shelter,(% of pop.),The proportion of  population primarily using clean cooking fuels and technologies for cooking.,World Health Organization
ps_politicalkillings,Political killings and torture,Indicator,Basic Human Needs,Personal Safety,(0=low freedom; 1=high freedom),Physical violence index  is based on indicators that reflect violence committed by government agents and that are not directly referring to elections.,"Varieties of Democracy (V-Dem), Dataset Version 12"
ps_intpersvioldaly,Interpersonal violence,Indicator,Basic Human Needs,Personal Safety,"(DALYs/100,000)","Age-standardized Disability-Adjusted Life Years (DALYs) per 100,000 people from interpersonal violence. Interpersonal violence is defined as death or disability from intentional use of physical force or power, threatened or actual, from another person or group not including military or police forces.",Institute for Health Metrics and Evaluation
ps_transportdaly,Transportation related injuries,Indicator,Basic Human Needs,Personal Safety,"(DALYs/100,000)","Age-standardized Disability-Adjusted Life Years (DALYs) per 100,000 people due to injuries related to transportation. These injuries include road injuries (death or disability due to unintentional interaction with an automobile, motorcycle, pedal cycle, or other vehicles) as well as other transport injuries.",Institute for Health Metrics and Evaluation
ps_intimpartnviol,Intimate partner violence,Indicator,Basic Human Needs,Personal Safety,(% of women aged 15+),Age-standardised prevalence of ever-partnered women aged 15 years and older who experienced physical or sexual violence by a current or former intimate partner in the last 12 months (%).,Institute for Health Metrics and Evaluation
ps_moneystolen,Money stolen,Indicator,Basic Human Needs,Personal Safety,(proportion of pop.),"The proportion of respondents answering 'yes' to the question, ""Within the last 12 months, have you had money or property stolen from you or another household member?""",Gallup World Poll
abk_qualeduc,Equal access to quality education,Indicator,Foundations of Wellbeing,Access to Basic Knowledge,(0=unequal; 4=equal),"Country experts' aggregated evaluation of the question, ""To what extent is high quality basic education guaranteed to all, sufficient to enable them to exercise their basic rights as adult citizens?""","Varieties of Democracy (V-Dem), Dataset Version 12"
abk_propnoeduc,Population with no schooling,Indicator,Foundations of Wellbeing,Access to Basic Knowledge,(proportion of pop.),Proportion of population (age-standardized) with no schooling.,Institute for Health Metrics and Evaluation
abk_popsomesec,Secondary school attainment,Indicator,Foundations of Wellbeing,Access to Basic Knowledge,(% of pop. aged 25+),Population with at least some secondary education (% ages 25 and older),United Nations Development Programme (UNDP) Human Development Data
abk_totprimenrol,Primary school enrollment,Indicator,Foundations of Wellbeing,Access to Basic Knowledge,(% of children),"Total number of students of official primary school age who are enrolled in any level of education, expressed as a percentage of the total population of official primary school age. Statistic is termed 'total net primary enrollment rate.'","UN Educational, Scientific, and Cultural Organization Institute for Statistics"
abk_educpar,Gender parity in secondary attainment,Indicator,Foundations of Wellbeing,Access to Basic Knowledge,(distance from parity),The absolute deviation from parity (=1) in secondary education attainment of women and men.,United Nations Development Programme (UNDP) Human Development Data
aic_altinfo,Alternative sources of information index,Indicator,Foundations of Wellbeing,Access to Information and Communications,(0=low; 1=high),"Country experts' aggregated evaluation of the questions: To what extent is the media (a) un-biased in their coverage or lack of coverage of the opposition, (b) allowed to be critical of the regime, and (c) representative of a wide array of political perspectives?","Varieties of Democracy (V-Dem), Dataset Version 12"
aic_mobiles,Mobile telephone subscriptions,Indicator,Foundations of Wellbeing,Access to Information and Communications,(subscriptions/100 people),"Subscriptions to a public mobile telephone service using cellular technology, including the number of pre-paid SIM cards active during the past three months, expressed as the number of mobile telephone subscriptions per 100 inhabitants.",International Telecommunications Union
aic_internet,Internet users,Indicator,Foundations of Wellbeing,Access to Information and Communications,(% of pop.),"The estimated number of Internet users out of the total population, using the Internet from any device (including mobile phones) in the last 12 months.",International Telecommunications Union
aic_eparticip,Access to online governance,Indicator,Foundations of Wellbeing,Access to Information and Communications,(0=low; 1=high),"The availability of e-participation tools on national government portal for of the following uses: e-information – provision of information on the Internet; e-consultation – organizing public consultations online; and e-decision-making – involving citizens directly in decision processes. E-participation is defined as the process of engaging citizens through ICTs in policy, decision-making, and service design and delivery in order to make it participatory, inclusive, and deliberative.",UN Department of Economic and Social Affairs E-Government Survey
hw_qualityhealth,Equal access to quality healthcare,Indicator,Foundations of Wellbeing,Health and Wellness,(0=unequal; 4=equal),"Country experts' aggregated evaluation of the question, ""To what extent is high quality basic healthcare guaranteed to all, sufficient to enable them to exercise their basic political rights as adult citizens?""","Varieties of Democracy (V-Dem), Dataset Version 12"
hw_lifex60,Life expectancy at 60,Indicator,Foundations of Wellbeing,Health and Wellness,(years),"The average number of years that a person of 60 to 64 years of age could expect to live, if he or she were to pass through life exposed to the sex- and age-specific death rates prevailing at the time of his or her 60 years, for a specific year, in a given country, territory, or geographic area.",Institute for Health Metrics and Evaluation
hw_ncdmort,Premature deaths from non-communicable diseases,Indicator,Foundations of Wellbeing,Health and Wellness,"(deaths/100,000)","Mortality rate due to cardiovascular diseases, cancers, diabetes, and chronic respiratory diseases among populations aged 30–70 years.",Institute for Health Metrics and Evaluation
hw_univhealthcov,Access to essential health services,Indicator,Foundations of Wellbeing,Health and Wellness,(0=none; 100=full coverage),"The universal health coverage (UHC) measures the coverage of 9 tracer interventions and risk-standardized death rates from 32 causes amenable to personal healthcare, including vaccine-preventable diseases (e.g., diphteria, tetanus, measles), respitory infections, cancer (breast, cervical, uterine, testicular), heart diseases, diabetes, kidney disease), and the adverse effects of medical treatment.",Institute for Health Metrics and Evaluation
hw_qualhealthsat,Satisfaction with availability of quality healthcare,Indicator,Foundations of Wellbeing,Health and Wellness,(proportion of pop.),"The proportion of respondents answering 'satisfied' to the question, In the city or area where you live, are you satisfied or dissatisfied with the availability of quality healthcare?",Gallup World Poll
eq_airpolldalys,Outdoor air pollution,Indicator,Foundations of Wellbeing,Environmental Quality,"(DALYs/100,000)","Age-standardized Disability-Adjusted Life Years (DALYs) per 100,000 people resulting from ambient particulate matter pollution, including emissions from industrial activity, households, cars and trucks.",Institute for Health Metrics and Evaluation
eq_leadexpdalys,Lead exposure,Indicator,Foundations of Wellbeing,Environmental Quality,"(DALYs/100,000)","Age-standardized Disability-Adjusted Life Years (DALYs) per 100,000 people attributable to lead exposure. Lead exposure is defined as acute exposure, measured by micrograms of lead per decilitre of blood, and chronic exposure, measured by micrograms of lead per gram of bone.",Institute for Health Metrics and Evaluation
eq_pm25,Particulate matter pollution,Indicator,Foundations of Wellbeing,Environmental Quality,"(mean annual exposure, µg/m3)","Population-weighted mean levels of annual exposure to suspended particles smaller than 2.5 microns in aerodynamic diameter (PM2.5), which are capable of penetrating deep into the respiratory tract and causing severe health damage.",Institute for Health Metrics and Evaluation
eq_spindex,Species protection,Indicator,Foundations of Wellbeing,Environmental Quality,(0=low; 100=high),"An index of how well a country's terrestrial protected areas overlap with the ranges of its vertebrate, invertebrate, and plant species. The Species Protection Index is calculated using remote sensing data, global biodiversity informatics, and integrative models to map suitable habitat for over 30,000 terrestrial species at high resolutions. A score of 100 indicates full coverage of all species' ranges by a country's protected areas, and a score of 0 indicates no overlap.","Environmental Performance Index
Map of Life"
pr_freerelig,Freedom of religion,Indicator,Opportunity,Personal Rights,(0=no freedom; 4=full freedom),"Country experts' aggregated evaluation of the question, ""Is there freedom of religion?""","Varieties of Democracy (V-Dem), Dataset Version 12"
pr_proprightswomen,Property rights for women,Indicator,Opportunity,Personal Rights,(0=no rights; 5=full rights),"Country experts' aggregated evaluation of the question, ""Do women enjoy the right to private property?""
","Varieties of Democracy (V-Dem), Dataset Version 12"
pr_peaceassemb,Freedom of peaceful assembly,Indicator,Opportunity,Personal Rights,(0=no freedom; 4=full freedom),"Country experts' aggregated evaluation of the question, ""To what extent do state authorities respect and protect the right of peaceful assembly?""","Varieties of Democracy (V-Dem), Dataset Version 12"
pr_accessjustice,Access to justice,Indicator,Opportunity,Personal Rights,(0=nonexistent; 1=observed),"Country experts' aggregated evaluation of the question, ""Do citizens enjoy secure and effective access to justice?""","Varieties of Democracy (V-Dem), Dataset Version 12"
pr_freediscuss,Freedom of discussion,Indicator,Opportunity,Personal Rights,(0=low; 1=high),"Country experts' aggregated evaluation of the question, ""Are citizens able to openly discuss political issues in private homes and in public spaces?""","Varieties of Democracy (V-Dem), Dataset Version 12"
pr_polrights,Political rights,Indicator,Opportunity,Personal Rights,(0 and lower=no rights; 40=full rights),"An evaluation of three subcategories of political rights: electoral process, political pluralism and participation, and functioning of government on a scale from 0 (no political rights) to 40 (full political rights). Some countries and territories score below zero on the questions used to compose the indicator.",Freedom House
pfc_freedomestmov,Freedom of domestic movement,Indicator,Opportunity,Personal Freedom and Choice,(0=low; 1=high),"Country experts' aggregated evaluation of the question, ""Do citizens enjoy freedom of movement and residence?""","Varieties of Democracy (V-Dem), Dataset Version 12"
pfc_earlymarriage,Early marriage,Indicator,Opportunity,Personal Freedom and Choice,(% of married women aged 15-19),The percentage of women aged 15-19 years who are married or in-union.,United Nations Population Division
pfc_contracept,Satisfied demand for contraception,Indicator,Opportunity,Personal Freedom and Choice,(% satisfied demand),The percentage of total demand for family planning among married or in-union women aged 15 to 49 that is satisfied with modern methods.,United Nations Population Division
pfc_neet,"Young people not in education, employment or training",Indicator,Opportunity,Personal Freedom and Choice,(% of youth),The proportion of youth who are not in employment and not in education or training. Youth are defined as persons between the ages of 15 and 24 years. The series is part of the ILO modelled estimates.,International Labor Organization
pfc_vulnemploy,Vulnerable employment,Indicator,Opportunity,Personal Freedom and Choice,(% of total employment),Contributing family workers and own-account workers as a percentage of total employment.,International Labor Organization/World Bank
pfc_corruption,Perception of corruption,Indicator,Opportunity,Personal Freedom and Choice,(0=high corruption; 100=low corruption),"The perceived level of public sector corruption based on expert opinion, measured on a scale from 0 (highly corrupt) to 100 (very clean).",Transparency International
incl_equalprotect,Equal protection index,Indicator,Opportunity,Inclusiveness,(0=low; 1=high),"Country experts' aggregated evaluation of the question, ""How equal is the protection of rights and freedoms across social groups by the state?""","Varieties of Democracy (V-Dem), Dataset Version 12"
incl_equalaccess,Equal access index,Indicator,Opportunity,Inclusiveness,(0=low; 1=high),"Country experts' aggregated evaluation of the question, ""How equal is access to power?""","Varieties of Democracy (V-Dem), Dataset Version 12"
incl_sexualorient,Power distributed by sexual orientation,Indicator,Opportunity,Inclusiveness,(0=extremely unequal; 3=equal),"Country experts' aggregated evaluation of the question, ""To what extent is political power distributed according to sexual orientation?""","Varieties of Democracy (V-Dem), Dataset Version 12"
incl_accpubsersocgr,Access to public services distributed by social group,Indicator,Opportunity,Inclusiveness,(0=extremely unequal; 4=equal),"Country experts' aggregated evaluation of the question, ""Are basic public services, such as order and security, primary education, clean water, and healthcare, distributed equally across social groups?""","Varieties of Democracy (V-Dem), Dataset Version 12"
incl_gayslesb,Acceptance of gays and lesbians,Indicator,Opportunity,Inclusiveness,(proportion of pop.),"The proportion of respondents answering yes to the question, “Is the city or area where you live a good place or not a good place to live for gay or lesbian people?”",Gallup World Poll
incl_discrimin,Discrimination and violence against minorities,Indicator,Opportunity,Inclusiveness,(0=low; 10=high),"Group Grievance indicator: discrimination, powerlessness, ethnic violence, communal violence, sectarian violence, and religious violence.",Fund for Peace Fragile States Index
aae_acadfreed,Academic freedom,Indicator,Opportunity,Access to Advanced Education,(0=low; 1=high),"Country experts'  aggregated evaluation of the question, ""To what extent is academic freedom respected?""","Varieties of Democracy (V-Dem), Dataset Version 12"
aae_femterteduc,Women with advanced education,Indicator,Opportunity,Access to Advanced Education,(proportion of females),Proportion of females (age-standardized) with 12–18 years of education.,Institute for Health Metrics and Evaluation
aae_tertschlife,Expected years of tertiary schooling,Indicator,Opportunity,Access to Advanced Education,(years),"Number of years a person of tertiary school entrance age can expect to spend within tertiary education. For a child of a certain age a, the school life expectancy is calculated as the sum of the age specific enrollment rates for the levels of education specified. The part of the enrolment that is not distributed by age is divided by the school-age population for the level of education they are enrolled in, and multiplied by the duration of that level of education. The result is then added to the sum of the age-specific enrolment rates. The indicator seeks to show the overall level of development of an educational system in terms of the average number of years of schooling that the education system offers to the eligible population, including those who never enter school.","UN Educational, Scientific, and Cultural Organization Institute for Statistics"
aae_citabledocs,Citable documents,Indicator,Opportunity,Access to Advanced Education,"(documents/1,000 people)","Citable documents - articles, reviews and conference papers - per 1,000 population.",Scimago Journal & Country Rank
aae_qualuniversities,Quality weighted universities,Indicator,Opportunity,Access to Advanced Education,(points),"The number of universities in a country weighted by the quality of universities, measured by university rankings on any of the three most widely used international assessments. Universities in the top 400 on any list are given double weight. Not ranked universities are given 5% weight of the top ranked universities.
","Times Higher Education World University Rankings, QS World University Rankings, and Academic Ranking of World Universities; Varieties of Democracy (V-Dem), Dataset Version 12 ; SPI calculations"
