Hospital,Especialidad,total_pacientes,media_tiempo_dias,ano,semana
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,35
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,34
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,33
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,32
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,31
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,30
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,29
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,28
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,27
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,25
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,24
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,23
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,22
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,21
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,20
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,19
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,18
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,17
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,16
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,15
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,14
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,12
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,11
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,10
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,9
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,8
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,7
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,6
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,5
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,4
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,3
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,2
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2022,1
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,51
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,50
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,49
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,48
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,47
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,46
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,45
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,44
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,43
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,42
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,41
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,40
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,38
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,37
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,36
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,35
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,34
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,33
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,32
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,31
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,30
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,29
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,28
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,27
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,26
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,25
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,24
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,23
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,22
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,21
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,20
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,19
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,18
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,16
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,15
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,14
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,13
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,12
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,11
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,10
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,9
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,8
HOSPITAL CENTRAL DE LA CRUZ ROJA SAN JOSE Y SANTA ADELA,Cirugía Cardiaca,0,0,2021,7
